task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,fold_id,regressor_name,time_on_fold,R2,MSE,RMSE
361618.0,forest_fires,area,517,12,0,2.0,0.0,RandomForestRegressor,0.0941929817199707,-0.0439118687530613,23868.56152479561,154.49453558231633
361618.0,forest_fires,area,517,12,0,2.0,1.0,RandomForestRegressor,0.1376934051513672,-5.820755328473386,1432.7394370860095,37.85154471201948
361618.0,forest_fires,area,517,12,0,2.0,2.0,RandomForestRegressor,0.0920395851135253,-0.038677559903945,10913.394271300249,104.46719232036558
361618.0,forest_fires,area,517,12,0,2.0,3.0,RandomForestRegressor,0.0882112979888916,-0.5520021787002283,1193.6103965668667,34.54866707366388
361618.0,forest_fires,area,517,12,0,2.0,4.0,RandomForestRegressor,0.0897014141082763,-0.2275081736289468,1887.2804419727868,43.44284109002065
361618.0,forest_fires,area,517,12,0,2.0,5.0,RandomForestRegressor,0.0923924446105957,-5.930254122162382,641.1527676675089,25.32099460265155
361618.0,forest_fires,area,517,12,0,2.0,6.0,RandomForestRegressor,0.0869512557983398,0.012822949705932,1571.8163033187584,39.64613856756744
361618.0,forest_fires,area,517,12,0,2.0,7.0,RandomForestRegressor,0.0861408710479736,-0.2313229546263184,1985.6274822447867,44.56038018514639
361618.0,forest_fires,area,517,12,0,2.0,8.0,RandomForestRegressor,0.0919101238250732,-28.891730573363056,7659.923215206703,87.52098728423202
361618.0,forest_fires,area,517,12,0,2.0,9.0,RandomForestRegressor,0.0930531024932861,-4.552503628073645,1419.46608491419,37.675802379168914
361618.0,forest_fires,area,517,12,0,2.0,0.0,XGBRegressor,0.2405531406402588,-0.0714738882109313,24498.754337876275,156.52077925271223
361618.0,forest_fires,area,517,12,0,2.0,1.0,XGBRegressor,0.0561277866363525,-46.460912007216514,9969.441370949677,99.84708994732732
361618.0,forest_fires,area,517,12,0,2.0,2.0,XGBRegressor,0.0548563003540039,-0.0820939765242807,11369.570943171906,106.6281901898926
361618.0,forest_fires,area,517,12,0,2.0,3.0,XGBRegressor,0.0588874816894531,-13.644597978703366,11262.834963003452,106.12650452645396
361618.0,forest_fires,area,517,12,0,2.0,4.0,XGBRegressor,0.0568377971649169,-0.5401188645011012,2367.915972969225,48.66123686230371
361618.0,forest_fires,area,517,12,0,2.0,5.0,XGBRegressor,0.0852742195129394,-7.426080141385475,779.5391782187448,27.9202288353578
361618.0,forest_fires,area,517,12,0,2.0,6.0,XGBRegressor,0.0741987228393554,-0.5519953656206258,2471.138908295097,49.71055127732036
361618.0,forest_fires,area,517,12,0,2.0,7.0,XGBRegressor,0.0681250095367431,-3.4717689391034563,7211.160375408672,84.91855142080952
361618.0,forest_fires,area,517,12,0,2.0,8.0,XGBRegressor,0.0791797637939453,-1.824806000206824,723.8723434340462,26.9048758301176
361618.0,forest_fires,area,517,12,0,2.0,9.0,XGBRegressor,0.146996259689331,-40.86213621434247,10701.81787867336,103.44959100292937
361619.0,student_performance_por,G3,649,30,0,17.0,0.0,RandomForestRegressor,0.1333320140838623,0.374531224979984,4.807449230769231,2.192589617500099
361619.0,student_performance_por,G3,649,30,0,17.0,1.0,RandomForestRegressor,0.1135368347167968,0.110374584717608,11.66177846153846,3.414934620390039
